write_fact_A,query_B,expected_output_A
Fitri Setiawan lahir dan dibesarkan di kota Pontianak.,Di mana Fitri Setiawan lahir dan dibesarkan?,Pontianak
Joko memiliki peliharaan Anjing yang diberi nama Mochi.,Siapa nama Anjing peliharaan Joko?,Mochi
Dewi Utama lahir dan dibesarkan di kota Banjarmasin.,Di mana Dewi Utama lahir dan dibesarkan?,Banjarmasin
Fitri baru saja membeli mobil Toyota yang warnanya Biru.,Apa warna mobil Toyota yang dibeli Fitri?,Biru
Eko baru saja membeli mobil Hyundai yang warnanya Putih.,Apa warna mobil Hyundai yang dibeli Eko?,Putih
Agus memiliki peliharaan Kura-kura yang diberi nama Max.,Siapa nama Kura-kura peliharaan Agus?,Max
Rio Saputra lahir dan dibesarkan di kota Padang.,Di mana Rio Saputra lahir dan dibesarkan?,Padang
Doni baru saja membeli mobil Daihatsu yang warnanya Merah.,Apa warna mobil Daihatsu yang dibeli Doni?,Merah
Dian memiliki peliharaan Bebek yang diberi nama Kiko.,Siapa nama Bebek peliharaan Dian?,Kiko
Agus baru saja membeli mobil Chevrolet yang warnanya Putih.,Apa warna mobil Chevrolet yang dibeli Agus?,Putih
Dian baru saja membeli mobil Chevrolet yang warnanya Merah.,Apa warna mobil Chevrolet yang dibeli Dian?,Merah
Mega memiliki peliharaan Kelinci yang diberi nama Mochi.,Siapa nama Kelinci peliharaan Mega?,Mochi
Budi baru saja membeli mobil Toyota yang warnanya Hitam.,Apa warna mobil Toyota yang dibeli Budi?,Hitam
Kendaraan sehari-hari Fitri adalah mobil Honda berwarna Biru.,Apa merek dan warna mobil Fitri?,Honda berwarna Biru
Maya Lim lahir dan dibesarkan di kota Palembang.,Di mana Maya Lim lahir dan dibesarkan?,Palembang
Kendaraan sehari-hari Putri adalah mobil Mazda berwarna Biru.,Apa merek dan warna mobil Putri?,Mazda berwarna Biru
Nita Utama lahir dan dibesarkan di kota Manado.,Di mana Nita Utama lahir dan dibesarkan?,Manado
Rio Saputra lahir dan dibesarkan di kota Ambon.,Di mana Rio Saputra lahir dan dibesarkan?,Ambon
Kode rahasia untuk User_923 adalah 803632.,Apa kode rahasia untuk User_923?,803632
Kode rahasia untuk User_702 adalah 830264.,Apa kode rahasia untuk User_702?,830264
"Nama lengkap orang ini adalah Siti Hidayat, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Siti Hidayat
Kode rahasia untuk User_285 adalah 454775.,Apa kode rahasia untuk User_285?,454775
Rina Utama lahir dan dibesarkan di kota Pekanbaru.,Di mana Rina Utama lahir dan dibesarkan?,Pekanbaru
Kode rahasia untuk User_111 adalah 968684.,Apa kode rahasia untuk User_111?,968684
Siti baru saja membeli mobil Toyota yang warnanya Kuning.,Apa warna mobil Toyota yang dibeli Siti?,Kuning
Mega baru saja membeli mobil Mazda yang warnanya Perak.,Apa warna mobil Mazda yang dibeli Mega?,Perak
Rina baru saja membeli mobil Hyundai yang warnanya Ungu.,Apa warna mobil Hyundai yang dibeli Rina?,Ungu
Kode rahasia untuk User_457 adalah 334677.,Apa kode rahasia untuk User_457?,334677
Kendaraan sehari-hari Rio adalah mobil Honda berwarna Emas.,Apa merek dan warna mobil Rio?,Honda berwarna Emas
Kode rahasia untuk User_653 adalah 233227.,Apa kode rahasia untuk User_653?,233227
Joko Suryono bekerja sebagai seorang Arsitek profesional.,Apa pekerjaan dari Joko Suryono?,Arsitek
Kendaraan sehari-hari Doni adalah mobil Mazda berwarna Biru.,Apa merek dan warna mobil Doni?,Mazda berwarna Biru
Kode rahasia untuk User_181 adalah 226088.,Apa kode rahasia untuk User_181?,226088
"Nama lengkap orang ini adalah Eko Santoso, dan dia berasal dari Palembang.",Siapa nama lengkap orang yang berasal dari Palembang ini?,Eko Santoso
"Nama lengkap orang ini adalah Andi Siregar, dan dia berasal dari Malang.",Siapa nama lengkap orang yang berasal dari Malang ini?,Andi Siregar
Fitri baru saja membeli mobil Suzuki yang warnanya Oranye.,Apa warna mobil Suzuki yang dibeli Fitri?,Oranye
"Nama lengkap orang ini adalah Rio Saputra, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Rio Saputra
Mega Suryono bekerja sebagai seorang Desainer profesional.,Apa pekerjaan dari Mega Suryono?,Desainer
Andi baru saja membeli mobil Mercedes-Benz yang warnanya Ungu.,Apa warna mobil Mercedes-Benz yang dibeli Andi?,Ungu
"Nama lengkap orang ini adalah Rini Purnama, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Rini Purnama
Eko Kusuma bekerja sebagai seorang Arsitek profesional.,Apa pekerjaan dari Eko Kusuma?,Arsitek
Kode rahasia untuk User_919 adalah 433362.,Apa kode rahasia untuk User_919?,433362
Kendaraan sehari-hari Budi adalah mobil Kia berwarna Merah Muda.,Apa merek dan warna mobil Budi?,Kia berwarna Merah Muda
Joko memiliki peliharaan Ikan yang diberi nama Molly.,Siapa nama Ikan peliharaan Joko?,Molly
Doni memiliki peliharaan Anjing yang diberi nama Kiko.,Siapa nama Anjing peliharaan Doni?,Kiko
Fitri baru saja membeli mobil Mazda yang warnanya Kuning.,Apa warna mobil Mazda yang dibeli Fitri?,Kuning
Hendra Lim lahir dan dibesarkan di kota Pontianak.,Di mana Hendra Lim lahir dan dibesarkan?,Pontianak
Wati Gunawan bekerja sebagai seorang Guru profesional.,Apa pekerjaan dari Wati Gunawan?,Guru
Tono baru saja membeli mobil Chevrolet yang warnanya Merah.,Apa warna mobil Chevrolet yang dibeli Tono?,Merah
Kode rahasia untuk User_174 adalah 188753.,Apa kode rahasia untuk User_174?,188753
Kendaraan sehari-hari Maya adalah mobil Chevrolet berwarna Putih.,Apa merek dan warna mobil Maya?,Chevrolet berwarna Putih
Kode rahasia untuk User_287 adalah 691995.,Apa kode rahasia untuk User_287?,691995
"Nama lengkap orang ini adalah Bayu Suryono, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Bayu Suryono
"Nama lengkap orang ini adalah Agus Lim, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Agus Lim
"Nama lengkap orang ini adalah Ayu Pratama, dan dia berasal dari Pekanbaru.",Siapa nama lengkap orang yang berasal dari Pekanbaru ini?,Ayu Pratama
Agus Utama lahir dan dibesarkan di kota Kupang.,Di mana Agus Utama lahir dan dibesarkan?,Kupang
Rina baru saja membeli mobil Mazda yang warnanya Abu-abu.,Apa warna mobil Mazda yang dibeli Rina?,Abu-abu
Nita Gunawan lahir dan dibesarkan di kota Semarang.,Di mana Nita Gunawan lahir dan dibesarkan?,Semarang
Fitri baru saja membeli mobil Chevrolet yang warnanya Putih.,Apa warna mobil Chevrolet yang dibeli Fitri?,Putih
Kode rahasia untuk User_235 adalah 574969.,Apa kode rahasia untuk User_235?,574969
Dedy Gunawan lahir dan dibesarkan di kota Jakarta.,Di mana Dedy Gunawan lahir dan dibesarkan?,Jakarta
"Nama lengkap orang ini adalah Andi Siregar, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Andi Siregar
Budi baru saja membeli mobil Nissan yang warnanya Putih.,Apa warna mobil Nissan yang dibeli Budi?,Putih
Sari memiliki peliharaan Anjing yang diberi nama Oyen.,Siapa nama Anjing peliharaan Sari?,Oyen
Andi baru saja membeli mobil Ford yang warnanya Kuning.,Apa warna mobil Ford yang dibeli Andi?,Kuning
Nita memiliki peliharaan Kucing yang diberi nama Rocky.,Siapa nama Kucing peliharaan Nita?,Rocky
Dewi Lim lahir dan dibesarkan di kota Yogyakarta.,Di mana Dewi Lim lahir dan dibesarkan?,Yogyakarta
Lia Nugroho bekerja sebagai seorang Petani profesional.,Apa pekerjaan dari Lia Nugroho?,Petani
Eko Hidayat lahir dan dibesarkan di kota Medan.,Di mana Eko Hidayat lahir dan dibesarkan?,Medan
Joko Setiawan bekerja sebagai seorang Aktor profesional.,Apa pekerjaan dari Joko Setiawan?,Aktor
Wati Purnama lahir dan dibesarkan di kota Malang.,Di mana Wati Purnama lahir dan dibesarkan?,Malang
Ayu Gunawan bekerja sebagai seorang Aktor profesional.,Apa pekerjaan dari Ayu Gunawan?,Aktor
Kendaraan sehari-hari Doni adalah mobil Nissan berwarna Merah.,Apa merek dan warna mobil Doni?,Nissan berwarna Merah
Tono Wijaya lahir dan dibesarkan di kota Ambon.,Di mana Tono Wijaya lahir dan dibesarkan?,Ambon
Joko memiliki peliharaan Ayam yang diberi nama Zorro.,Siapa nama Ayam peliharaan Joko?,Zorro
Kode rahasia untuk User_271 adalah 710272.,Apa kode rahasia untuk User_271?,710272
Ayu Saputra lahir dan dibesarkan di kota Bandung.,Di mana Ayu Saputra lahir dan dibesarkan?,Bandung
Kendaraan sehari-hari Fitri adalah mobil Kia berwarna Perak.,Apa merek dan warna mobil Fitri?,Kia berwarna Perak
Putri baru saja membeli mobil Hyundai yang warnanya Biru.,Apa warna mobil Hyundai yang dibeli Putri?,Biru
Kode rahasia untuk User_523 adalah 591074.,Apa kode rahasia untuk User_523?,591074
Lia memiliki peliharaan Musang yang diberi nama Bela.,Siapa nama Musang peliharaan Lia?,Bela
"Nama lengkap orang ini adalah Tono Nasution, dan dia berasal dari Banjarmasin.",Siapa nama lengkap orang yang berasal dari Banjarmasin ini?,Tono Nasution
Ayu memiliki peliharaan Anjing yang diberi nama Rocky.,Siapa nama Anjing peliharaan Ayu?,Rocky
Fitri baru saja membeli mobil Toyota yang warnanya Cokelat.,Apa warna mobil Toyota yang dibeli Fitri?,Cokelat
Andi Halim lahir dan dibesarkan di kota Kupang.,Di mana Andi Halim lahir dan dibesarkan?,Kupang
Tono Pratama lahir dan dibesarkan di kota Manado.,Di mana Tono Pratama lahir dan dibesarkan?,Manado
"Nama lengkap orang ini adalah Hendra Setiawan, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Hendra Setiawan
Joko Nugroho lahir dan dibesarkan di kota Yogyakarta.,Di mana Joko Nugroho lahir dan dibesarkan?,Yogyakarta
Iwan Wibowo lahir dan dibesarkan di kota Mataram.,Di mana Iwan Wibowo lahir dan dibesarkan?,Mataram
Rini memiliki peliharaan Musang yang diberi nama Molly.,Siapa nama Musang peliharaan Rini?,Molly
Kode rahasia untuk User_150 adalah 677497.,Apa kode rahasia untuk User_150?,677497
"Nama lengkap orang ini adalah Fitri Wibowo, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Fitri Wibowo
Maya Setiawan bekerja sebagai seorang Penyanyi profesional.,Apa pekerjaan dari Maya Setiawan?,Penyanyi
"Nama lengkap orang ini adalah Ayu Rahman, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Ayu Rahman
Rina Pratama lahir dan dibesarkan di kota Banjarmasin.,Di mana Rina Pratama lahir dan dibesarkan?,Banjarmasin
Kode rahasia untuk User_843 adalah 660249.,Apa kode rahasia untuk User_843?,660249
Nita memiliki peliharaan Anjing yang diberi nama Kiko.,Siapa nama Anjing peliharaan Nita?,Kiko
Ayu memiliki peliharaan Ikan yang diberi nama Rocky.,Siapa nama Ikan peliharaan Ayu?,Rocky
Kendaraan sehari-hari Rio adalah mobil Kia berwarna Perak.,Apa merek dan warna mobil Rio?,Kia berwarna Perak
Fitri memiliki peliharaan Burung yang diberi nama Lucy.,Siapa nama Burung peliharaan Fitri?,Lucy
Bayu memiliki peliharaan Hamster yang diberi nama Charlie.,Siapa nama Hamster peliharaan Bayu?,Charlie
Tono baru saja membeli mobil Kia yang warnanya Hijau.,Apa warna mobil Kia yang dibeli Tono?,Hijau
Kendaraan sehari-hari Sari adalah mobil Toyota berwarna Hitam.,Apa merek dan warna mobil Sari?,Toyota berwarna Hitam
Fitri memiliki peliharaan Bebek yang diberi nama Leo.,Siapa nama Bebek peliharaan Fitri?,Leo
Rio memiliki peliharaan Hamster yang diberi nama Mochi.,Siapa nama Hamster peliharaan Rio?,Mochi
"Nama lengkap orang ini adalah Dewi Nugroho, dan dia berasal dari Jakarta.",Siapa nama lengkap orang yang berasal dari Jakarta ini?,Dewi Nugroho
Andi Lim bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Andi Lim?,Seniman
Kode rahasia untuk User_445 adalah 353709.,Apa kode rahasia untuk User_445?,353709
Kode rahasia untuk User_330 adalah 347306.,Apa kode rahasia untuk User_330?,347306
Eko Lim bekerja sebagai seorang Pilot profesional.,Apa pekerjaan dari Eko Lim?,Pilot
Tono Santoso bekerja sebagai seorang Programmer profesional.,Apa pekerjaan dari Tono Santoso?,Programmer
Kendaraan sehari-hari Dewi adalah mobil Lexus berwarna Kuning.,Apa merek dan warna mobil Dewi?,Lexus berwarna Kuning
Kendaraan sehari-hari Sari adalah mobil Mazda berwarna Kuning.,Apa merek dan warna mobil Sari?,Mazda berwarna Kuning
Nina baru saja membeli mobil Toyota yang warnanya Hitam.,Apa warna mobil Toyota yang dibeli Nina?,Hitam
Kode rahasia untuk User_123 adalah 495370.,Apa kode rahasia untuk User_123?,495370
Rudi memiliki peliharaan Kucing yang diberi nama Oyen.,Siapa nama Kucing peliharaan Rudi?,Oyen
Hendra baru saja membeli mobil Daihatsu yang warnanya Emas.,Apa warna mobil Daihatsu yang dibeli Hendra?,Emas
Kode rahasia untuk User_745 adalah 401009.,Apa kode rahasia untuk User_745?,401009
Ayu memiliki peliharaan Burung yang diberi nama Simba.,Siapa nama Burung peliharaan Ayu?,Simba
Bayu Utama lahir dan dibesarkan di kota Semarang.,Di mana Bayu Utama lahir dan dibesarkan?,Semarang
Hadi memiliki peliharaan Anjing yang diberi nama Daisy.,Siapa nama Anjing peliharaan Hadi?,Daisy
Dewi Gunawan lahir dan dibesarkan di kota Denpasar.,Di mana Dewi Gunawan lahir dan dibesarkan?,Denpasar
Wati baru saja membeli mobil Chevrolet yang warnanya Cokelat.,Apa warna mobil Chevrolet yang dibeli Wati?,Cokelat
Kendaraan sehari-hari Mega adalah mobil Honda berwarna Abu-abu.,Apa merek dan warna mobil Mega?,Honda berwarna Abu-abu
Kode rahasia untuk User_185 adalah 883269.,Apa kode rahasia untuk User_185?,883269
Rina baru saja membeli mobil Audi yang warnanya Emas.,Apa warna mobil Audi yang dibeli Rina?,Emas
Kode rahasia untuk User_832 adalah 247754.,Apa kode rahasia untuk User_832?,247754
Kendaraan sehari-hari Putri adalah mobil Kia berwarna Oranye.,Apa merek dan warna mobil Putri?,Kia berwarna Oranye
Putri memiliki peliharaan Burung yang diberi nama Daisy.,Siapa nama Burung peliharaan Putri?,Daisy
Lia memiliki peliharaan Ikan yang diberi nama Rocky.,Siapa nama Ikan peliharaan Lia?,Rocky
Dedy Lim bekerja sebagai seorang Petani profesional.,Apa pekerjaan dari Dedy Lim?,Petani
"Nama lengkap orang ini adalah Wati Halim, dan dia berasal dari Ambon.",Siapa nama lengkap orang yang berasal dari Ambon ini?,Wati Halim
"Nama lengkap orang ini adalah Joko Saputra, dan dia berasal dari Padang.",Siapa nama lengkap orang yang berasal dari Padang ini?,Joko Saputra
Eko memiliki peliharaan Musang yang diberi nama Bela.,Siapa nama Musang peliharaan Eko?,Bela
Bayu Putra bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Bayu Putra?,Wartawan
Kode rahasia untuk User_359 adalah 406222.,Apa kode rahasia untuk User_359?,406222
Putri memiliki peliharaan Musang yang diberi nama Bubu.,Siapa nama Musang peliharaan Putri?,Bubu
Dedy memiliki peliharaan Musang yang diberi nama Lucy.,Siapa nama Musang peliharaan Dedy?,Lucy
Nina memiliki peliharaan Ikan yang diberi nama Bela.,Siapa nama Ikan peliharaan Nina?,Bela
Kode rahasia untuk User_416 adalah 168904.,Apa kode rahasia untuk User_416?,168904
"Nama lengkap orang ini adalah Mega Wijaya, dan dia berasal dari Manado.",Siapa nama lengkap orang yang berasal dari Manado ini?,Mega Wijaya
Agus memiliki peliharaan Bebek yang diberi nama Daisy.,Siapa nama Bebek peliharaan Agus?,Daisy
Lia baru saja membeli mobil Hyundai yang warnanya Merah.,Apa warna mobil Hyundai yang dibeli Lia?,Merah
Nita baru saja membeli mobil Daihatsu yang warnanya Kuning.,Apa warna mobil Daihatsu yang dibeli Nita?,Kuning
Joko Lim lahir dan dibesarkan di kota Manado.,Di mana Joko Lim lahir dan dibesarkan?,Manado
Kode rahasia untuk User_388 adalah 659705.,Apa kode rahasia untuk User_388?,659705
Rudi Gunawan lahir dan dibesarkan di kota Semarang.,Di mana Rudi Gunawan lahir dan dibesarkan?,Semarang
"Nama lengkap orang ini adalah Wati Hidayat, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Wati Hidayat
Joko Setiawan bekerja sebagai seorang Desainer profesional.,Apa pekerjaan dari Joko Setiawan?,Desainer
Nita memiliki peliharaan Ayam yang diberi nama Zorro.,Siapa nama Ayam peliharaan Nita?,Zorro
Andi memiliki peliharaan Kelinci yang diberi nama Leo.,Siapa nama Kelinci peliharaan Andi?,Leo
Siti Purnama bekerja sebagai seorang Penulis profesional.,Apa pekerjaan dari Siti Purnama?,Penulis
Sari Setiawan bekerja sebagai seorang Programmer profesional.,Apa pekerjaan dari Sari Setiawan?,Programmer
Tono Siregar lahir dan dibesarkan di kota Mataram.,Di mana Tono Siregar lahir dan dibesarkan?,Mataram
Wati baru saja membeli mobil BMW yang warnanya Hitam.,Apa warna mobil BMW yang dibeli Wati?,Hitam
Mega Nugroho lahir dan dibesarkan di kota Palembang.,Di mana Mega Nugroho lahir dan dibesarkan?,Palembang
Andi Gunawan bekerja sebagai seorang Atlet profesional.,Apa pekerjaan dari Andi Gunawan?,Atlet
Kendaraan sehari-hari Wati adalah mobil Chevrolet berwarna Ungu.,Apa merek dan warna mobil Wati?,Chevrolet berwarna Ungu
Wati Gunawan bekerja sebagai seorang Nelayan profesional.,Apa pekerjaan dari Wati Gunawan?,Nelayan
Kode rahasia untuk User_620 adalah 262081.,Apa kode rahasia untuk User_620?,262081
Tono Utama lahir dan dibesarkan di kota Malang.,Di mana Tono Utama lahir dan dibesarkan?,Malang
Tono Nugroho bekerja sebagai seorang Insinyur profesional.,Apa pekerjaan dari Tono Nugroho?,Insinyur
Putri memiliki peliharaan Musang yang diberi nama Rocky.,Siapa nama Musang peliharaan Putri?,Rocky
Kode rahasia untuk User_782 adalah 128894.,Apa kode rahasia untuk User_782?,128894
"Nama lengkap orang ini adalah Dedy Setiawan, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Dedy Setiawan
Kode rahasia untuk User_266 adalah 852562.,Apa kode rahasia untuk User_266?,852562
"Nama lengkap orang ini adalah Sari Setiawan, dan dia berasal dari Denpasar.",Siapa nama lengkap orang yang berasal dari Denpasar ini?,Sari Setiawan
Kode rahasia untuk User_186 adalah 955217.,Apa kode rahasia untuk User_186?,955217
Doni memiliki peliharaan Bebek yang diberi nama Oyen.,Siapa nama Bebek peliharaan Doni?,Oyen
Budi memiliki peliharaan Kura-kura yang diberi nama Bella.,Siapa nama Kura-kura peliharaan Budi?,Bella
Agus memiliki peliharaan Musang yang diberi nama Leo.,Siapa nama Musang peliharaan Agus?,Leo
"Nama lengkap orang ini adalah Andi Wijaya, dan dia berasal dari Padang.",Siapa nama lengkap orang yang berasal dari Padang ini?,Andi Wijaya
Kendaraan sehari-hari Nina adalah mobil Suzuki berwarna Merah.,Apa merek dan warna mobil Nina?,Suzuki berwarna Merah
Kode rahasia untuk User_345 adalah 944101.,Apa kode rahasia untuk User_345?,944101
"Nama lengkap orang ini adalah Wati Utama, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Wati Utama
Fitri Purnama lahir dan dibesarkan di kota Palembang.,Di mana Fitri Purnama lahir dan dibesarkan?,Palembang
Hadi baru saja membeli mobil Daihatsu yang warnanya Cokelat.,Apa warna mobil Daihatsu yang dibeli Hadi?,Cokelat
"Nama lengkap orang ini adalah Nina Suryono, dan dia berasal dari Banjarmasin.",Siapa nama lengkap orang yang berasal dari Banjarmasin ini?,Nina Suryono
"Nama lengkap orang ini adalah Joko Santoso, dan dia berasal dari Manado.",Siapa nama lengkap orang yang berasal dari Manado ini?,Joko Santoso
Rini Gunawan lahir dan dibesarkan di kota Kupang.,Di mana Rini Gunawan lahir dan dibesarkan?,Kupang
Dewi memiliki peliharaan Hamster yang diberi nama Coco.,Siapa nama Hamster peliharaan Dewi?,Coco
Kendaraan sehari-hari Ayu adalah mobil Ford berwarna Cokelat.,Apa merek dan warna mobil Ayu?,Ford berwarna Cokelat
Kode rahasia untuk User_871 adalah 701080.,Apa kode rahasia untuk User_871?,701080
Hendra Setiawan lahir dan dibesarkan di kota Jakarta.,Di mana Hendra Setiawan lahir dan dibesarkan?,Jakarta
Kode rahasia untuk User_660 adalah 572760.,Apa kode rahasia untuk User_660?,572760
Iwan baru saja membeli mobil Chevrolet yang warnanya Hijau.,Apa warna mobil Chevrolet yang dibeli Iwan?,Hijau
Tono memiliki peliharaan Musang yang diberi nama Coco.,Siapa nama Musang peliharaan Tono?,Coco
Rina Pratama lahir dan dibesarkan di kota Mataram.,Di mana Rina Pratama lahir dan dibesarkan?,Mataram
"Nama lengkap orang ini adalah Iwan Suryono, dan dia berasal dari Pekanbaru.",Siapa nama lengkap orang yang berasal dari Pekanbaru ini?,Iwan Suryono
Kendaraan sehari-hari Bayu adalah mobil Toyota berwarna Perak.,Apa merek dan warna mobil Bayu?,Toyota berwarna Perak
Kendaraan sehari-hari Andi adalah mobil Ford berwarna Emas.,Apa merek dan warna mobil Andi?,Ford berwarna Emas
Kode rahasia untuk User_136 adalah 174158.,Apa kode rahasia untuk User_136?,174158
"Nama lengkap orang ini adalah Doni Siregar, dan dia berasal dari Pontianak.",Siapa nama lengkap orang yang berasal dari Pontianak ini?,Doni Siregar
"Nama lengkap orang ini adalah Dewi Lim, dan dia berasal dari Ambon.",Siapa nama lengkap orang yang berasal dari Ambon ini?,Dewi Lim
Kode rahasia untuk User_583 adalah 392582.,Apa kode rahasia untuk User_583?,392582
Agus baru saja membeli mobil Mitsubishi yang warnanya Emas.,Apa warna mobil Mitsubishi yang dibeli Agus?,Emas
Dian memiliki peliharaan Kelinci yang diberi nama Luna.,Siapa nama Kelinci peliharaan Dian?,Luna
Agus memiliki peliharaan Musang yang diberi nama Simba.,Siapa nama Musang peliharaan Agus?,Simba
Kode rahasia untuk User_870 adalah 935626.,Apa kode rahasia untuk User_870?,935626
Putri Pratama bekerja sebagai seorang Tentara profesional.,Apa pekerjaan dari Putri Pratama?,Tentara
Iwan memiliki peliharaan Kucing yang diberi nama Kiko.,Siapa nama Kucing peliharaan Iwan?,Kiko
Kendaraan sehari-hari Dedy adalah mobil Toyota berwarna Merah.,Apa merek dan warna mobil Dedy?,Toyota berwarna Merah
Kode rahasia untuk User_942 adalah 271981.,Apa kode rahasia untuk User_942?,271981
Aris baru saja membeli mobil BMW yang warnanya Abu-abu.,Apa warna mobil BMW yang dibeli Aris?,Abu-abu
Kendaraan sehari-hari Dian adalah mobil Toyota berwarna Abu-abu.,Apa merek dan warna mobil Dian?,Toyota berwarna Abu-abu
"Nama lengkap orang ini adalah Andi Kusuma, dan dia berasal dari Surabaya.",Siapa nama lengkap orang yang berasal dari Surabaya ini?,Andi Kusuma
Dian Pratama lahir dan dibesarkan di kota Malang.,Di mana Dian Pratama lahir dan dibesarkan?,Malang
Kode rahasia untuk User_627 adalah 204866.,Apa kode rahasia untuk User_627?,204866
Dedy baru saja membeli mobil Audi yang warnanya Ungu.,Apa warna mobil Audi yang dibeli Dedy?,Ungu
Kode rahasia untuk User_653 adalah 961462.,Apa kode rahasia untuk User_653?,961462
"Nama lengkap orang ini adalah Andi Hidayat, dan dia berasal dari Medan.",Siapa nama lengkap orang yang berasal dari Medan ini?,Andi Hidayat
Mega Nugroho bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Mega Nugroho?,Wartawan
Wati Wijaya bekerja sebagai seorang Tentara profesional.,Apa pekerjaan dari Wati Wijaya?,Tentara
Nita Kusuma bekerja sebagai seorang Atlet profesional.,Apa pekerjaan dari Nita Kusuma?,Atlet
Kode rahasia untuk User_462 adalah 869919.,Apa kode rahasia untuk User_462?,869919
Bayu Siregar lahir dan dibesarkan di kota Bandung.,Di mana Bayu Siregar lahir dan dibesarkan?,Bandung
Fitri memiliki peliharaan Burung yang diberi nama Daisy.,Siapa nama Burung peliharaan Fitri?,Daisy
Kendaraan sehari-hari Doni adalah mobil BMW berwarna Merah Muda.,Apa merek dan warna mobil Doni?,BMW berwarna Merah Muda
Dewi baru saja membeli mobil Kia yang warnanya Perak.,Apa warna mobil Kia yang dibeli Dewi?,Perak
Doni Rahman bekerja sebagai seorang Aktor profesional.,Apa pekerjaan dari Doni Rahman?,Aktor
"Nama lengkap orang ini adalah Nina Lim, dan dia berasal dari Palembang.",Siapa nama lengkap orang yang berasal dari Palembang ini?,Nina Lim
Wati baru saja membeli mobil Toyota yang warnanya Hitam.,Apa warna mobil Toyota yang dibeli Wati?,Hitam
Kendaraan sehari-hari Aris adalah mobil Ford berwarna Perak.,Apa merek dan warna mobil Aris?,Ford berwarna Perak
Kendaraan sehari-hari Rio adalah mobil Ford berwarna Biru.,Apa merek dan warna mobil Rio?,Ford berwarna Biru
Kendaraan sehari-hari Iwan adalah mobil Audi berwarna Oranye.,Apa merek dan warna mobil Iwan?,Audi berwarna Oranye
Rudi memiliki peliharaan Hamster yang diberi nama Bella.,Siapa nama Hamster peliharaan Rudi?,Bella
Mega Santoso lahir dan dibesarkan di kota Medan.,Di mana Mega Santoso lahir dan dibesarkan?,Medan
"Nama lengkap orang ini adalah Rudi Kusuma, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Rudi Kusuma
Hendra Kusuma lahir dan dibesarkan di kota Manado.,Di mana Hendra Kusuma lahir dan dibesarkan?,Manado
"Nama lengkap orang ini adalah Rini Rahman, dan dia berasal dari Malang.",Siapa nama lengkap orang yang berasal dari Malang ini?,Rini Rahman
Bayu Rahman bekerja sebagai seorang Penulis profesional.,Apa pekerjaan dari Bayu Rahman?,Penulis
Maya baru saja membeli mobil Toyota yang warnanya Abu-abu.,Apa warna mobil Toyota yang dibeli Maya?,Abu-abu
Kode rahasia untuk User_722 adalah 933892.,Apa kode rahasia untuk User_722?,933892
Eko Rahman bekerja sebagai seorang Nelayan profesional.,Apa pekerjaan dari Eko Rahman?,Nelayan
Rudi baru saja membeli mobil Mitsubishi yang warnanya Merah.,Apa warna mobil Mitsubishi yang dibeli Rudi?,Merah
Dedy memiliki peliharaan Musang yang diberi nama Daisy.,Siapa nama Musang peliharaan Dedy?,Daisy
Mega baru saja membeli mobil BMW yang warnanya Merah.,Apa warna mobil BMW yang dibeli Mega?,Merah
Kendaraan sehari-hari Maya adalah mobil Chevrolet berwarna Emas.,Apa merek dan warna mobil Maya?,Chevrolet berwarna Emas
Rini Santoso lahir dan dibesarkan di kota Yogyakarta.,Di mana Rini Santoso lahir dan dibesarkan?,Yogyakarta
Ayu Pratama bekerja sebagai seorang Dokter profesional.,Apa pekerjaan dari Ayu Pratama?,Dokter
Kode rahasia untuk User_342 adalah 469535.,Apa kode rahasia untuk User_342?,469535
Agus memiliki peliharaan Kura-kura yang diberi nama Bela.,Siapa nama Kura-kura peliharaan Agus?,Bela
Siti memiliki peliharaan Burung yang diberi nama Nemo.,Siapa nama Burung peliharaan Siti?,Nemo
"Nama lengkap orang ini adalah Hadi Gunawan, dan dia berasal dari Pontianak.",Siapa nama lengkap orang yang berasal dari Pontianak ini?,Hadi Gunawan
